BLOCK INDEX; PRECEDENCE
1;17 - 18
2;17 - 18
3;19 - 20
4;19 - 20
5;21 - 22
6;21 - 22
7;23 - 24
8;23 - 24
9;25 - 26
10;25 - 26
11;27 - 28
12;27 - 28
13;29 - 30
14;29 - 30
15;31 - 32
16;31 - 32
17;65
18;65
19;66
20;66
21;41 - 42 - 43 - 44
22;41 - 42 - 43 - 44
23;67
24;67
25;68
26;68
27;53 - 54 - 55 - 56
28;53 - 54 - 55 - 56
29;69
30;69
31;70
32;70
33;0
34;0
35;0
36;0
37;0
38;0
39;0
40;0
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0
58;0
59;0
60;0
61;0
62;0
63;0
64;0
65;33 - 34 - 35 - 36
66;37 - 38 - 39 - 40
67;45 - 46 - 47 - 48
68;49 - 50 - 51 - 52
69;57 - 58 - 59 - 60
70;61 - 62 - 63 - 64
